[2024-03-14 14:06:35,247] [drone_actions] INFO Battery State 1: Mild
[2024-03-14 14:06:36,249] [drone_actions] INFO Battery State 2: Severe
[2024-03-14 14:06:36,249] [drone_actions] INFO Overall State 2: Severe
[2024-03-14 14:06:36,249] [drone_actions] INFO [91mAction: Plan to return to home immediately[0m
[2024-03-14 14:06:37,249] [drone_actions] INFO Sensor Anomaly State 2: Severe
[2024-03-14 14:06:37,249] [drone_actions] INFO Overall State 2: Severe
[2024-03-14 14:06:37,250] [drone_actions] INFO Battery State 2: Severe
[2024-03-14 14:06:38,252] [drone_actions] INFO Battery State 2: Severe
[2024-03-14 14:06:39,252] [drone_actions] INFO Sensor Anomaly State 1: Mild
[2024-03-14 14:06:39,253] [drone_actions] INFO Overall State 2: Severe
[2024-03-14 14:06:39,254] [drone_actions] INFO Battery State 3: Critical
[2024-03-14 14:06:39,254] [drone_actions] INFO Overall State 3: Critical
[2024-03-14 14:06:39,255] [drone_actions] INFO [31mAction: Emergency landing is advised[0m
[2024-03-14 14:06:40,257] [drone_actions] INFO Battery State 3: Critical
[2024-03-14 14:06:41,256] [drone_actions] INFO Sensor Anomaly State 0: Normal
[2024-03-14 14:06:41,257] [drone_actions] INFO Overall State 3: Critical
[2024-03-14 14:06:41,258] [drone_actions] INFO Battery State 3: Critical
[2024-03-14 14:06:42,260] [drone_actions] INFO Battery State 3: Critical
[2024-03-14 14:06:43,260] [drone_actions] INFO Sensor Anomaly State 3: Critical
[2024-03-14 14:06:43,261] [drone_actions] INFO Overall State 3: Critical
[2024-03-14 14:06:43,261] [drone_actions] INFO Battery State 3: Critical
[2024-03-14 14:06:44,264] [drone_actions] INFO Battery State 2: Severe
[2024-03-14 14:06:44,265] [drone_actions] INFO Overall State 3: Critical
[2024-03-14 14:06:45,262] [drone_actions] INFO Sensor Anomaly State 2: Severe
[2024-03-14 14:06:45,263] [drone_actions] INFO Overall State 2: Severe
[2024-03-14 14:06:45,264] [drone_actions] INFO [91mAction: Plan to return to home immediately[0m
[2024-03-14 14:06:45,266] [drone_actions] INFO Battery State 2: Severe
[2024-03-14 14:06:46,268] [drone_actions] INFO Battery State 2: Severe
[2024-03-14 14:06:47,267] [drone_actions] INFO Sensor Anomaly State 1: Mild
[2024-03-14 14:06:47,268] [drone_actions] INFO Overall State 2: Severe
[2024-03-14 14:06:47,270] [drone_actions] INFO Battery State 1: Mild
[2024-03-14 14:06:47,271] [drone_actions] INFO Overall State 1: Mild
[2024-03-14 14:06:47,271] [drone_actions] INFO [93mAction: Consider returning to home soon[0m
[2024-03-14 14:33:25,312] [drone_actions] INFO Overall state 0: Normal
[2024-03-14 14:33:26,314] [drone_actions] INFO Battery State 0: Normal
[2024-03-14 14:33:26,314] [drone_actions] INFO Overall State 0: Normal
[2024-03-14 14:33:26,314] [drone_actions] INFO [92mAction: Continue mission[0m
[2024-03-14 14:33:27,315] [drone_actions] INFO Sensor Anomaly State 2: Severe
[2024-03-14 14:33:27,315] [drone_actions] INFO Overall State 2: Severe
[2024-03-14 14:33:27,316] [drone_actions] INFO [91mAction: Plan to return to home immediately[0m
[2024-03-14 14:33:27,316] [drone_actions] INFO Battery State 0: Normal
[2024-03-14 14:33:28,318] [drone_actions] INFO Battery State 1: Mild
[2024-03-14 14:33:28,319] [drone_actions] INFO Overall State 2: Severe
[2024-03-14 14:33:29,318] [drone_actions] INFO Sensor Anomaly State 2: Severe
[2024-03-14 14:33:29,320] [drone_actions] INFO Battery State 1: Mild
[2024-03-14 14:33:30,322] [drone_actions] INFO Battery State 2: Severe
[2024-03-14 14:33:30,322] [drone_actions] INFO Overall State 2: Severe
[2024-03-14 14:33:31,321] [drone_actions] INFO Sensor Anomaly State 1: Mild
[2024-03-14 14:33:31,322] [drone_actions] INFO Overall State 2: Severe
[2024-03-14 14:33:31,323] [drone_actions] INFO Battery State 2: Severe
[2024-03-14 14:33:32,324] [drone_actions] INFO Battery State 2: Severe
[2024-03-14 14:33:33,325] [drone_actions] INFO Sensor Anomaly State 2: Severe
[2024-03-14 14:33:33,326] [drone_actions] INFO Overall State 2: Severe
[2024-03-14 14:33:33,327] [drone_actions] INFO Battery State 3: Critical
[2024-03-14 14:33:33,327] [drone_actions] INFO Overall State 3: Critical
[2024-03-14 14:33:33,328] [drone_actions] INFO [31mAction: Emergency landing is advised[0m
[2024-03-14 14:33:34,329] [drone_actions] INFO Battery State 3: Critical
[2024-03-14 14:33:35,329] [drone_actions] INFO Sensor Anomaly State 2: Severe
[2024-03-14 14:33:35,331] [drone_actions] INFO Battery State 3: Critical
[2024-03-14 14:33:36,333] [drone_actions] INFO Battery State 3: Critical
[2024-03-14 14:33:37,331] [drone_actions] INFO Sensor Anomaly State 2: Severe
[2024-03-14 14:33:37,335] [drone_actions] INFO Battery State 3: Critical
[2024-03-14 14:33:38,337] [drone_actions] INFO Battery State 2: Severe
[2024-03-14 14:33:38,337] [drone_actions] INFO Overall State 2: Severe
[2024-03-14 14:33:38,337] [drone_actions] INFO [91mAction: Plan to return to home immediately[0m
[2024-03-14 14:33:39,333] [drone_actions] INFO Sensor Anomaly State 1: Mild
[2024-03-14 14:33:39,334] [drone_actions] INFO Overall State 2: Severe
[2024-03-14 14:33:39,339] [drone_actions] INFO Battery State 2: Severe
[2024-03-14 14:33:40,341] [drone_actions] INFO Battery State 2: Severe
[2024-03-14 14:33:41,337] [drone_actions] INFO Sensor Anomaly State 1: Mild
[2024-03-14 14:33:41,342] [drone_actions] INFO Battery State 1: Mild
[2024-03-14 14:33:41,342] [drone_actions] INFO Overall State 1: Mild
[2024-03-14 14:33:41,342] [drone_actions] INFO [93mAction: Consider returning to home soon[0m
[2024-03-14 14:33:42,344] [drone_actions] INFO Battery State 1: Mild
[2024-03-14 14:33:43,340] [drone_actions] INFO Sensor Anomaly State 3: Critical
[2024-03-14 14:33:43,341] [drone_actions] INFO Overall State 3: Critical
[2024-03-14 14:33:43,341] [drone_actions] INFO [31mAction: Emergency landing is advised[0m
[2024-03-14 14:33:43,346] [drone_actions] INFO Battery State 0: Normal
[2024-03-14 14:33:43,346] [drone_actions] INFO Overall State 3: Critical
[2024-03-20 15:42:41,366] [drone_actions] INFO Overall state 0: Normal
[2024-03-20 15:42:42,367] [drone_actions] INFO Battery State 0: Normal
[2024-03-20 15:42:42,367] [drone_actions] INFO Overall State 0: Normal
[2024-03-20 15:42:42,367] [drone_actions] INFO [92mAction: Continue mission[0m
[2024-03-20 15:42:43,368] [drone_actions] INFO Sensor Anomaly State 1: Mild
[2024-03-20 15:42:43,368] [drone_actions] INFO Overall State 1: Mild
[2024-03-20 15:42:43,369] [drone_actions] INFO [93mAction: Consider returning to home soon[0m
